Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
 1 AL      0-2  178686  186177  187527  183667  174677  170727  168571  170560  172276  175823  180448
 1 AL      3-4  122467  117737  117969  121629  127799  127768  120942  116286  115545  114326  115964
 1 AL     5-13  644550  632779  622364  610566  601860  597025  596661  590499  583318  573979  573511
 1 AL       14   75084   76415   75936   75710   76059   76187   75813   75286   74788   72462   68735
 1 AL       15   73659   74834   76725   76234   76283   76840   77016   76362   76095   75243   73816
 1 AL       16   70883   73473   74635   76501   76281   76529   77119   77004   76611   75976   74787
 1 AL       17   69032   71719   73517   74521   76461   76370   76561   76720   76813   75921   74987
 1 AL       18   67025   67658   69776   71644   73036   75289   75522   75479   76039   75739   75939
 1 AL       19   61415   65749   66521   69411   72014   73893   76900   77049   77527   77922   77877
 1 AL       20   61330   62216   64691   65495   68789   71176   73064   75139   74906   74532   76093
 1 AL       21   57063   59231   61010   63175   64393   67680   70552   72003   74050   73480   73269
 1 AL       22   57522   58912   59604   60858   62689   63927   67191   69405   70709   72203   72387
 1 AL       23   55103   57060   58893   59660   60648   62591   63843   66461   68629   69480   70419
 1 AL       24   43660   61218   58866   60677   60883   61705   63542   64034   66403   67875   69019
 1 AL    25-29  217050  222702  241662  252521  268003  284193  303534  305139  310340  313964  315460
 1 AL    30-34  191140  193435  197660  207889  215439  222109  227761  247970  259629  273331  283292
 1 AL    35-44  383147  380251  379564  380159  382935  385520  392056  399120  413561  423808  429714
 1 AL    45-54  373207  377275  381831  386954  388631  389791  392080  390883  391482  390462  388995
 1 AL    55-59  168615  167369  167285  165167  168091  174317  178913  184714  191292  192407  190062
 1 AL    60-61   63368   64803   63137   63979   64763   64731   64486   63486   62981   66107   72355
 1 AL   62-64M   39179   39874   42009   42797   43546   43585   44054   44695   44479   44240   43430
 1 AL   62-64F   46892   48001   50457   51628   52430   52948   53835   54972   54786   54606   53314
 1 AL      65+  324277  338190  347762  358937  370791  383915  395123  407137  419579  432362  440015
 2 AK      0-2   19251   21063   21252   20330   19634   21390   22985   23999   24526   25119   24461
 2 AK      3-4   12909   12612   12887   13592   14304   15103   14674   13907   14096   14683   14488
 2 AK     5-13   64891   66557   66418   64804   64898   69921   72495   69591   66767   64524   62363
 2 AK       14    6224    7079    7375    7383    7524    8504    8850    8786    8290    7763    6962
 2 AK       15    6024    6434    7067    7219    7364    8042    8722    8455    8394    7918    7380
 2 AK       16    5517    6132    6398    6905    7205    7897    8295    8400    8164    8123    7503
 2 AK       17    5314    6162    6570    6681    7354    8012    8375    8162    8075    7778    7588
 2 AK       18    4938    5660    6221    6642    6824    7605    7897    7551    7169    7052    6962
