ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1981-09-01,154.060771424,-458.4349685662748,662.853238166246,154.060771424,154.060771424,-43.08183460449366,-43.08183460449366,-43.08183460449366,-43.08183460449366,-43.08183460449366,-43.08183460449366,0.0,0.0,0.0,110.97893681950634
1981-10-01,157.78659850503198,-494.4300481852025,655.7616385984522,157.78659850503198,157.78659850503198,-60.741012631152735,-60.741012631152735,-60.741012631152735,-60.741012631152735,-60.741012631152735,-60.741012631152735,0.0,0.0,0.0,97.04558587387925
1981-11-01,161.63661982209834,-459.73350686432457,649.234638828051,161.63661982209834,161.63661982209834,-67.27114501593925,-67.27114501593925,-67.27114501593925,-67.27114501593925,-67.27114501593925,-67.27114501593925,0.0,0.0,0.0,94.36547480615909
1981-12-01,165.36244690313032,-485.45977650088275,649.4818211053148,165.36244690313032,165.36244690313032,-71.68467937149614,-71.68467937149614,-71.68467937149614,-71.68467937149614,-71.68467937149614,-71.68467937149614,0.0,0.0,0.0,93.67776753163417
1982-01-01,169.2124682201967,-421.454934843547,685.8453042448162,169.2124682201967,169.2124682201967,-39.28351610399856,-39.28351610399856,-39.28351610399856,-39.28351610399856,-39.28351610399856,-39.28351610399856,0.0,0.0,0.0,129.92895211619816
1982-02-01,173.0624895372631,-456.46875370348084,694.7105920090974,173.0624895372631,173.0624895372631,-59.023071559645835,-59.023071559645835,-59.023071559645835,-59.023071559645835,-59.023071559645835,-59.023071559645835,0.0,0.0,0.0,114.03941797761726
1982-03-01,176.5399281462263,-476.8847750072983,661.1332744630827,176.5399281462263,176.5399281462263,-86.72188672907187,-86.72188672907187,-86.72188672907187,-86.72188672907187,-86.72188672907187,-86.72188672907187,0.0,0.0,0.0,89.81804141715442
1982-04-01,180.38994946329268,-456.5259996182217,672.5174831033552,180.38994946329268,180.38994946329268,-63.37996254798317,-63.37996254798317,-63.37996254798317,-63.37996254798317,-63.37996254798317,-63.37996254798317,0.0,0.0,0.0,117.00998691530951
1982-05-01,184.11577654432466,-367.96696568118523,741.1772728343642,184.11577654432466,184.11577654432466,-41.16222757111183,-41.16222757111183,-41.16222757111183,-41.16222757111183,-41.16222757111183,-41.16222757111183,0.0,0.0,0.0,142.95354897321283
1982-06-01,187.96579786139102,-437.2992125494367,749.8717299459465,187.96579786139102,187.96579786139102,-36.15519544846023,-36.15519544846023,-36.15519544846023,-36.15519544846023,-36.15519544846023,-36.15519544846023,0.0,0.0,0.0,151.8106024129308
