ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1952-11-01,87.894576,80.72437981799335,107.84941818728761,87.894576,87.894576,6.393613246990501,6.393613246990501,6.393613246990501,7.234304,7.234304,7.234304,-0.8406907530094995,-0.8406907530094995,-0.8406907530094995,0.0,0.0,0.0,94.2881892469905
1952-12-01,87.86708736602519,80.37061924051426,107.7453862559531,87.86708736602519,87.86708736602519,6.290414057686598,6.290414057686598,6.290414057686598,7.234304,7.234304,7.234304,-0.9438899423134013,-0.9438899423134013,-0.9438899423134013,0.0,0.0,0.0,94.15750142371179
1953-01-01,87.8386824442512,81.00668639315249,109.07304179311197,87.8386824442512,87.8386824442512,7.075804564469273,7.075804564469273,7.075804564469273,7.234304,7.234304,7.234304,-0.15849943553072596,-0.15849943553072596,-0.15849943553072596,0.0,0.0,0.0,94.91448700872047
1953-02-01,87.81027752247722,80.96380761298936,108.3047875207996,87.81027752247722,87.81027752247722,6.330922125122027,6.330922125122027,6.330922125122027,7.234304,7.234304,7.234304,-0.9033818748779726,-0.9033818748779726,-0.9033818748779726,0.0,0.0,0.0,94.14119964759925
1953-03-01,87.78462146410072,80.87007850095745,109.18160885670773,87.78462146410072,87.78462146410072,7.439068095030223,7.439068095030223,7.439068095030223,7.234304,7.234304,7.234304,0.20476409503022297,0.20476409503022297,0.20476409503022297,0.0,0.0,0.0,95.22368955913095
1953-04-01,87.75621654232675,80.83273506423915,107.3599022449083,87.75621654232675,87.75621654232675,6.791895183044859,6.791895183044859,6.791895183044859,7.234304,7.234304,7.234304,-0.44240881695514067,-0.44240881695514067,-0.44240881695514067,0.0,0.0,0.0,94.54811172537161
1953-05-01,87.72872790835193,81.28828601883654,109.14275919526236,87.72872790835193,87.72872790835193,6.978987265031499,6.978987265031499,6.978987265031499,7.234304,7.234304,7.234304,-0.2553167349685012,-0.2553167349685012,-0.2553167349685012,0.0,0.0,0.0,94.70771517338343
1953-06-01,87.70032298657794,80.30622233936703,108.36711091410066,87.70032298657794,87.70032298657794,7.381886671041319,7.381886671041319,7.381886671041319,7.234304,7.234304,7.234304,0.14758267104132006,0.14758267104132006,0.14758267104132006,0.0,0.0,0.0,95.08220965761926
1953-07-01,87.67283435260313,79.98937223432186,109.08173962094243,87.67283435260313,87.67283435260313,6.899564280273354,6.899564280273354,6.899564280273354,7.234304,7.234304,7.234304,-0.33473971972664657,-0.33473971972664657,-0.33473971972664657,0.0,0.0,0.0,94.57239863287649
1953-08-01,87.64442943082915,80.92070019480408,107.99470065532383,87.64442943082915,87.64442943082915,6.549102796275981,6.549102796275981,6.549102796275981,7.234304,7.234304,7.234304,-0.6852012037240194,-0.6852012037240194,-0.6852012037240194,0.0,0.0,0.0,94.19353222710512
1953-09-01,87.61602450905517,78.7619033449275,106.35909340755582,87.61602450905517,87.61602450905517,6.179320312165705,6.179320312165705,6.179320312165705,7.234304,7.234304,7.234304,-1.0549836878342949,-1.0549836878342949,-1.0549836878342949,0.0,0.0,0.0,93.79534482122087
1953-10-01,87.58853587508035,79.73769686020584,106.6570198242125,87.58853587508035,87.58853587508035,5.561209456044046,5.561209456044046,5.561209456044046,7.234304,7.234304,7.234304,-1.673094543955954,-1.673094543955954,-1.673094543955954,0.0,0.0,0.0,93.1497453311244
1953-11-01,87.56013095330637,79.38974904841521,106.86680565070837,87.56013095330637,87.56013095330637,5.75269989004579,5.75269989004579,5.75269989004579,7.234304,7.234304,7.234304,-1.4816041099542092,-1.4816041099542092,-1.4816041099542092,0.0,0.0,0.0,93.31283084335216
1953-12-01,87.53264231933156,79.9138618325935,107.4267890541443,87.53264231933156,87.53264231933156,6.547307552783706,6.547307552783706,6.547307552783706,7.234304,7.234304,7.234304,-0.686996447216294,-0.686996447216294,-0.686996447216294,0.0,0.0,0.0,94.07994987211526
1954-01-01,87.50423739755757,80.29947616849799,107.61170661931243,87.50423739755757,87.50423739755757,7.706881279999035,7.706881279999035,7.706881279999035,7.234304,7.234304,7.234304,0.4725772799990351,0.4725772799990351,0.4725772799990351,0.0,0.0,0.0,95.21111867755661
1954-02-01,87.47583247578359,81.43033596342167,108.11797632953974,87.47583247578359,87.47583247578359,7.021414102314681,7.021414102314681,7.021414102314681,7.234304,7.234304,7.234304,-0.21288989768531774,-0.21288989768531774,-0.21288989768531774,0.0,0.0,0.0,94.49724657809827
1954-03-01,87.45017641740709,80.33819532206186,107.77164905725948,87.45017641740709,87.45017641740709,6.264326885054623,6.264326885054623,6.264326885054623,7.234304,7.234304,7.234304,-0.9699771149453764,-0.9699771149453764,-0.9699771149453764,0.0,0.0,0.0,93.71450330246172
1954-04-01,87.42177149563311,79.8948322110071,107.45171544085507,87.42177149563311,87.42177149563311,6.749667989779402,6.749667989779402,6.749667989779402,7.234304,7.234304,7.234304,-0.4846360102205972,-0.4846360102205972,-0.4846360102205972,0.0,0.0,0.0,94.1714394854125
1954-05-01,87.3942828616583,80.31393792627738,107.67295128037534,87.3942828616583,87.3942828616583,7.063120004011106,7.063120004011106,7.063120004011106,7.234304,7.234304,7.234304,-0.17118399598889306,-0.17118399598889306,-0.17118399598889306,0.0,0.0,0.0,94.45740286566941
1954-06-01,87.36587793988431,81.21759601969623,108.72064015175661,87.36587793988431,87.36587793988431,7.551166588941236,7.551166588941236,7.551166588941236,7.234304,7.234304,7.234304,0.31686258894123714,0.31686258894123714,0.31686258894123714,0.0,0.0,0.0,94.91704452882556
1954-07-01,87.3383893059095,81.54186341709699,108.45783161453863,87.3383893059095,87.3383893059095,7.366166195446045,7.366166195446045,7.366166195446045,7.234304,7.234304,7.234304,0.13186219544604488,0.13186219544604488,0.13186219544604488,0.0,0.0,0.0,94.70455550135554
1954-08-01,87.30998438413552,79.84202729794752,107.25968752004347,87.30998438413552,87.30998438413552,6.522076174445834,6.522076174445834,6.522076174445834,7.234304,7.234304,7.234304,-0.7122278255541652,-0.7122278255541652,-0.7122278255541652,0.0,0.0,0.0,93.83206055858135
1954-09-01,87.28157946236153,79.57465837919959,106.63332093504445,87.28157946236153,87.28157946236153,6.002802382791573,6.002802382791573,6.002802382791573,7.234304,7.234304,7.234304,-1.2315016172084277,-1.2315016172084277,-1.2315016172084277,0.0,0.0,0.0,93.2843818451531
1954-10-01,87.25409082838672,78.21289724180346,107.10048843474044,87.25409082838672,87.25409082838672,5.4223377869693845,5.4223377869693845,5.4223377869693845,7.234304,7.234304,7.234304,-1.8119662130306153,-1.8119662130306153,-1.8119662130306153,0.0,0.0,0.0,92.6764286153561
1954-11-01,87.22568590661274,78.71564726299273,106.38224168794268,87.22568590661274,87.22568590661274,5.122213103815929,5.122213103815929,5.122213103815929,7.234304,7.234304,7.234304,-2.112090896184069,-2.112090896184069,-2.112090896184069,0.0,0.0,0.0,92.34789901042866
1954-12-01,87.19819727263791,81.051726686092,107.9824369881402,87.19819727263791,87.19819727263791,6.825100910554337,6.825100910554337,6.825100910554337,7.234304,7.234304,7.234304,-0.40920308944566264,-0.40920308944566264,-0.40920308944566264,0.0,0.0,0.0,94.02329818319225
1955-01-01,87.16979235086394,81.7544953182978,108.87986951321909,87.16979235086394,87.16979235086394,8.341686133472738,8.341686133472738,8.341686133472738,7.234304,7.234304,7.234304,1.1073821334727385,1.1073821334727385,1.1073821334727385,0.0,0.0,0.0,95.51147848433668
1955-02-01,87.14138742908996,81.03137691303382,107.75321553002246,87.14138742908996,87.14138742908996,7.68810563618404,7.68810563618404,7.68810563618404,7.234304,7.234304,7.234304,0.45380163618404,0.45380163618404,0.45380163618404,0.0,0.0,0.0,94.829493065274
1955-03-01,87.11573137071346,77.69569870371936,106.78036815504028,87.11573137071346,87.11573137071346,5.081964773342014,5.081964773342014,5.081964773342014,7.234304,7.234304,7.234304,-2.1523392266579866,-2.1523392266579866,-2.1523392266579866,0.0,0.0,0.0,92.19769614405547
1955-04-01,87.08732645141605,80.32772192532703,106.6508615248456,87.08732645141605,87.08732645141605,6.724217386253165,6.724217386253165,6.724217386253165,7.234304,7.234304,7.234304,-0.5100866137468352,-0.5100866137468352,-0.5100866137468352,0.0,0.0,0.0,93.8115438376692
1955-05-01,87.0598378198379,81.68975923851717,107.56983677711595,87.0598378198379,87.0598378198379,7.157828462706033,7.157828462706033,7.157828462706033,7.234304,7.234304,7.234304,-0.0764755372939675,-0.0764755372939675,-0.0764755372939675,0.0,0.0,0.0,94.21766628254393
1955-06-01,87.0314329005405,81.8380616998118,108.75247021238314,87.0314329005405,87.0314329005405,7.727801605591594,7.727801605591594,7.727801605591594,7.234304,7.234304,7.234304,0.4934976055915954,0.4934976055915954,0.4934976055915954,0.0,0.0,0.0,94.75923450613209
1955-07-01,87.00394426896236,81.12980465721192,108.01208887697422,87.00394426896236,87.00394426896236,7.827224089053754,7.827224089053754,7.827224089053754,7.234304,7.234304,7.234304,0.5929200890537533,0.5929200890537533,0.5929200890537533,0.0,0.0,0.0,94.83116835801611
