ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1953-04-01,-0.37483256500000006,-1.8766558094595107,0.4664921823771772,-0.37483256500000006,-0.37483256500000006,-0.31982602942261484,-0.31982602942261484,-0.31982602942261484,-0.34930218,-0.34930218,-0.34930218,0.02947615057738524,0.02947615057738524,0.02947615057738524,0.0,0.0,0.0,-0.6946585944226149
1953-05-01,-0.37099706266141913,-1.8533470883782603,0.5968188140621022,-0.37099706266141913,-0.37099706266141913,-0.2892066774343787,-0.2892066774343787,-0.2892066774343787,-0.34930218,-0.34930218,-0.34930218,0.06009550256562132,0.06009550256562132,0.06009550256562132,0.0,0.0,0.0,-0.6602037400957979
1953-06-01,-0.36703371024488557,-1.8956234855294396,0.5627051452294224,-0.36703371024488557,-0.36703371024488557,-0.3283327374050622,-0.3283327374050622,-0.3283327374050622,-0.34930218,-0.34930218,-0.34930218,0.020969442594937854,0.020969442594937854,0.020969442594937854,0.0,0.0,0.0,-0.6953664476499477
1953-07-01,-0.3631982079063047,-1.9722110246403628,0.5117648031326721,-0.3631982079063047,-0.3631982079063047,-0.3704240639740614,-0.3704240639740614,-0.3704240639740614,-0.34930218,-0.34930218,-0.34930218,-0.02112188397406141,-0.02112188397406141,-0.02112188397406141,0.0,0.0,0.0,-0.7336222718803661
1953-08-01,-0.35923485548977113,-1.8198193507632376,0.46058496683905936,-0.35923485548977113,-0.35923485548977113,-0.40808607314910533,-0.40808607314910533,-0.40808607314910533,-0.34930218,-0.34930218,-0.34930218,-0.058783893149105336,-0.058783893149105336,-0.058783893149105336,0.0,0.0,0.0,-0.7673209286388765
1953-09-01,-0.35527150307323757,-1.9024935154327411,0.4734253086534739,-0.35527150307323757,-0.35527150307323757,-0.38073125250939377,-0.38073125250939377,-0.38073125250939377,-0.34930218,-0.34930218,-0.34930218,-0.03142907250939374,-0.03142907250939374,-0.03142907250939374,0.0,0.0,0.0,-0.7360027555826314
1953-10-01,-0.35143600073465664,-1.9252493079767206,0.5165543129560711,-0.35143600073465664,-0.35143600073465664,-0.34477297784022926,-0.34477297784022926,-0.34477297784022926,-0.34930218,-0.34930218,-0.34930218,0.004529202159770748,0.004529202159770748,0.004529202159770748,0.0,0.0,0.0,-0.696208978574886
1953-11-01,-0.3474726483181231,-1.8678324220849736,0.5617185898859951,-0.3474726483181231,-0.3474726483181231,-0.3497388216689056,-0.3497388216689056,-0.3497388216689056,-0.34930218,-0.34930218,-0.34930218,-0.0004366416689055293,-0.0004366416689055293,-0.0004366416689055293,0.0,0.0,0.0,-0.6972114699870287
1953-12-01,-0.3436371459795422,-1.8776903473258768,0.48652317148711804,-0.3436371459795422,-0.3436371459795422,-0.3546216135193425,-0.3546216135193425,-0.3546216135193425,-0.34930218,-0.34930218,-0.34930218,-0.005319433519342491,-0.005319433519342491,-0.005319433519342491,0.0,0.0,0.0,-0.6982587594988847
1954-01-01,-0.33967379356300864,-1.883396277175431,0.6026557474479697,-0.33967379356300864,-0.33967379356300864,-0.352615423799954,-0.352615423799954,-0.352615423799954,-0.34930218,-0.34930218,-0.34930218,-0.0033132437999539477,-0.0033132437999539477,-0.0033132437999539477,0.0,0.0,0.0,-0.6922892173629627
1954-02-01,-0.3357104411464751,-2.021542453900932,0.585858148344134,-0.3357104411464751,-0.3357104411464751,-0.42146099992665054,-0.42146099992665054,-0.42146099992665054,-0.34930218,-0.34930218,-0.34930218,-0.0721588199266505,-0.0721588199266505,-0.0721588199266505,0.0,0.0,0.0,-0.7571714410731256
1954-03-01,-0.3321306389637996,-1.971387061904182,0.5701664637633072,-0.3321306389637996,-0.3321306389637996,-0.37980276942342234,-0.37980276942342234,-0.37980276942342234,-0.34930218,-0.34930218,-0.34930218,-0.030500589423422292,-0.030500589423422292,-0.030500589423422292,0.0,0.0,0.0,-0.711933408387222
1954-04-01,-0.32816728654726596,-1.8918186620656219,0.520636301499401,-0.32816728654726596,-0.32816728654726596,-0.31689594992550674,-0.31689594992550674,-0.31689594992550674,-0.34930218,-0.34930218,-0.34930218,0.032406230074493274,0.032406230074493274,0.032406230074493274,0.0,0.0,0.0,-0.6450632364727726
1954-05-01,-0.32433178420868514,-1.8844344608430386,0.5500392387634719,-0.32433178420868514,-0.32433178420868514,-0.31075031006328346,-0.31075031006328346,-0.31075031006328346,-0.34930218,-0.34930218,-0.34930218,0.03855186993671658,0.03855186993671658,0.03855186993671658,0.0,0.0,0.0,-0.6350820942719686
1954-06-01,-0.3203684317921516,-1.8130294439851922,0.596696261379544,-0.3203684317921516,-0.3203684317921516,-0.34666069316779907,-0.34666069316779907,-0.34666069316779907,-0.34930218,-0.34930218,-0.34930218,0.00264148683220092,0.00264148683220092,0.00264148683220092,0.0,0.0,0.0,-0.6670291249599507
1954-07-01,-0.31653292945357064,-1.9364740091156794,0.5502149188275961,-0.31653292945357064,-0.31653292945357064,-0.37113908873920204,-0.37113908873920204,-0.37113908873920204,-0.34930218,-0.34930218,-0.34930218,-0.021836908739202014,-0.021836908739202014,-0.021836908739202014,0.0,0.0,0.0,-0.6876720181927727
1954-08-01,-0.3125695770370371,-1.9942637534486425,0.4767988289616564,-0.3125695770370371,-0.3125695770370371,-0.3835038845399936,-0.3835038845399936,-0.3835038845399936,-0.34930218,-0.34930218,-0.34930218,-0.0342017045399936,-0.0342017045399936,-0.0342017045399936,0.0,0.0,0.0,-0.6960734615770308
1954-09-01,-0.30860622462050347,-1.827410322857465,0.6020120931527184,-0.30860622462050347,-0.30860622462050347,-0.3655146110406988,-0.3655146110406988,-0.3655146110406988,-0.34930218,-0.34930218,-0.34930218,-0.016212431040698826,-0.016212431040698826,-0.016212431040698826,0.0,0.0,0.0,-0.6741208356612023
1954-10-01,-0.30477072228192265,-1.786214612912765,0.6788177890591107,-0.30477072228192265,-0.30477072228192265,-0.34452492381485295,-0.34452492381485295,-0.34452492381485295,-0.34930218,-0.34930218,-0.34930218,0.004777256185147055,0.004777256185147055,0.004777256185147055,0.0,0.0,0.0,-0.6492956460967756
1954-11-01,-0.30080736986538903,-1.8344246557135246,0.6027019421877575,-0.30080736986538903,-0.30080736986538903,-0.36542383000719136,-0.36542383000719136,-0.36542383000719136,-0.34930218,-0.34930218,-0.34930218,-0.01612165000719134,-0.01612165000719134,-0.01612165000719134,0.0,0.0,0.0,-0.6662311998725804
1954-12-01,-0.29697186752680815,-1.8676727833263693,0.4989317414855351,-0.29697186752680815,-0.29697186752680815,-0.3679293744105893,-0.3679293744105893,-0.3679293744105893,-0.34930218,-0.34930218,-0.34930218,-0.01862719441058926,-0.01862719441058926,-0.01862719441058926,0.0,0.0,0.0,-0.6649012419373974
1955-01-01,-0.2930085151102746,-1.8015681655881164,0.4934328361968667,-0.2930085151102746,-0.2930085151102746,-0.37074535969683137,-0.37074535969683137,-0.37074535969683137,-0.34930218,-0.34930218,-0.34930218,-0.0214431796968313,-0.0214431796968313,-0.0214431796968313,0.0,0.0,0.0,-0.6637538748071059
1955-02-01,-0.28904516269374103,-1.9715026195572691,0.5152583138871545,-0.28904516269374103,-0.28904516269374103,-0.3921322224530293,-0.3921322224530293,-0.3921322224530293,-0.34930218,-0.34930218,-0.34930218,-0.042830042453029245,-0.042830042453029245,-0.042830042453029245,0.0,0.0,0.0,-0.6811773851467704
1955-03-01,-0.28546536051106547,-1.857830918868668,0.5138066248433696,-0.28546536051106547,-0.28546536051106547,-0.36965668255519746,-0.36965668255519746,-0.36965668255519746,-0.34930218,-0.34930218,-0.34930218,-0.02035450255519745,-0.02035450255519745,-0.02035450255519745,0.0,0.0,0.0,-0.655122043066263
1955-04-01,-0.2815020080945319,-1.779941045457146,0.6654382644247523,-0.2815020080945319,-0.2815020080945319,-0.31468943296023794,-0.31468943296023794,-0.31468943296023794,-0.34930218,-0.34930218,-0.34930218,0.03461274703976209,0.03461274703976209,0.03461274703976209,0.0,0.0,0.0,-0.5961914410547698
1955-05-01,-0.2776665057559511,-1.838657279072808,0.6013201823849484,-0.2776665057559511,-0.2776665057559511,-0.33264436133754766,-0.33264436133754766,-0.33264436133754766,-0.34930218,-0.34930218,-0.34930218,0.016657818662452376,0.016657818662452376,0.016657818662452376,0.0,0.0,0.0,-0.6103108670934987
1955-06-01,-0.27370315333941747,-1.8680677472945513,0.6055087664097252,-0.27370315333941747,-0.27370315333941747,-0.36458664041898353,-0.36458664041898353,-0.36458664041898353,-0.34930218,-0.34930218,-0.34930218,-0.015284460418983426,-0.015284460418983426,-0.015284460418983426,0.0,0.0,0.0,-0.638289793758401
1955-07-01,-0.2698676510008366,-1.8068679934999676,0.5730145611983731,-0.2698676510008366,-0.2698676510008366,-0.3710361118268976,-0.3710361118268976,-0.3710361118268976,-0.34930218,-0.34930218,-0.34930218,-0.021733931826897566,-0.021733931826897566,-0.021733931826897566,0.0,0.0,0.0,-0.6409037628277342
1955-08-01,-0.26590429858430303,-1.8498288128972455,0.583723737936035,-0.26590429858430303,-0.26590429858430303,-0.35856755350029534,-0.35856755350029534,-0.35856755350029534,-0.34930218,-0.34930218,-0.34930218,-0.009265373500295365,-0.009265373500295365,-0.009265373500295365,0.0,0.0,0.0,-0.6244718520845984
1955-09-01,-0.2619409461608808,-1.7930692501312622,0.6102010159771655,-0.2619409461608808,-0.2619409461608808,-0.3506955898416208,-0.3506955898416208,-0.3506955898416208,-0.34930218,-0.34930218,-0.34930218,-0.0013934098416207928,-0.0013934098416207928,-0.0013934098416207928,0.0,0.0,0.0,-0.6126365360025017
1955-10-01,-0.25810544381563355,-1.7558574222188306,0.6554213256302742,-0.25810544381563355,-0.25810544381563355,-0.3449562939160715,-0.3449562939160715,-0.3449562939160715,-0.34930218,-0.34930218,-0.34930218,0.004345886083928556,0.004345886083928556,0.004345886083928556,0.0,0.0,0.0,-0.6030617377317051
1955-11-01,-0.2541420913922113,-1.8806887648743635,0.5868273888326857,-0.2541420913922113,-0.2541420913922113,-0.3814810011226518,-0.3814810011226518,-0.3814810011226518,-0.34930218,-0.34930218,-0.34930218,-0.03217882112265178,-0.03217882112265178,-0.03217882112265178,0.0,0.0,0.0,-0.6356230925148632
1955-12-01,-0.250306589046964,-1.7956661295217764,0.589134818783122,-0.250306589046964,-0.250306589046964,-0.3810733043953487,-0.3810733043953487,-0.3810733043953487,-0.34930218,-0.34930218,-0.34930218,-0.031771124395348696,-0.031771124395348696,-0.031771124395348696,0.0,0.0,0.0,-0.6313798934423127
1956-01-01,-0.24634323662354182,-1.886294350124545,0.5816771086157911,-0.24634323662354182,-0.24634323662354182,-0.38805471247687545,-0.38805471247687545,-0.38805471247687545,-0.34930218,-0.34930218,-0.34930218,-0.03875253247687548,-0.03875253247687548,-0.03875253247687548,0.0,0.0,0.0,-0.6343979491004172
1956-02-01,-0.24237988420011958,-1.7343619229400329,0.6236905633509207,-0.24237988420011958,-0.24237988420011958,-0.362202969644474,-0.362202969644474,-0.362202969644474,-0.34930218,-0.34930218,-0.34930218,-0.012900789644473975,-0.012900789644473975,-0.012900789644473975,0.0,0.0,0.0,-0.6045828538445936
1956-03-01,-0.2386722319330472,-1.8963249750984095,0.5808958128456403,-0.2386722319330472,-0.2386722319330472,-0.40154943175312585,-0.40154943175312585,-0.40154943175312585,-0.34930218,-0.34930218,-0.34930218,-0.052247251753125785,-0.052247251753125785,-0.052247251753125785,0.0,0.0,0.0,-0.6402216636861731
1956-04-01,-0.234708879509625,-1.7856508227456769,0.625284493969113,-0.234708879509625,-0.234708879509625,-0.3234776374983998,-0.3234776374983998,-0.3234776374983998,-0.34930218,-0.34930218,-0.34930218,0.025824542501600187,0.025824542501600187,0.025824542501600187,0.0,0.0,0.0,-0.5581865170080248
1956-05-01,-0.2308733771643777,-1.824890985673296,0.7855562650833754,-0.2308733771643777,-0.2308733771643777,-0.2680457772069487,-0.2680457772069487,-0.2680457772069487,-0.34930218,-0.34930218,-0.34930218,0.08125640279305127,0.08125640279305127,0.08125640279305127,0.0,0.0,0.0,-0.4989191543713264
1956-06-01,-0.2269100247409555,-1.6888001625008229,0.6504751899824518,-0.2269100247409555,-0.2269100247409555,-0.30963316840799643,-0.30963316840799643,-0.30963316840799643,-0.34930218,-0.34930218,-0.34930218,0.03966901159200359,0.03966901159200359,0.03966901159200359,0.0,0.0,0.0,-0.5365431931489519
1956-07-01,-0.22307452239570819,-1.8290109519347615,0.6227515343104881,-0.22307452239570819,-0.22307452239570819,-0.3688895152448792,-0.3688895152448792,-0.3688895152448792,-0.34930218,-0.34930218,-0.34930218,-0.01958733524487916,-0.01958733524487916,-0.01958733524487916,0.0,0.0,0.0,-0.5919640376405874
1956-08-01,-0.219111169972286,-1.94970891545511,0.6292171410535535,-0.219111169972286,-0.219111169972286,-0.432279859325305,-0.432279859325305,-0.432279859325305,-0.34930218,-0.34930218,-0.34930218,-0.08297767932530498,-0.08297767932530498,-0.08297767932530498,0.0,0.0,0.0,-0.651391029297591
1956-09-01,-0.21514781754886378,-1.8707851171065606,0.727101371052633,-0.21514781754886378,-0.21514781754886378,-0.39631804355984596,-0.39631804355984596,-0.39631804355984596,-0.34930218,-0.34930218,-0.34930218,-0.047015863559845904,-0.047015863559845904,-0.047015863559845904,0.0,0.0,0.0,-0.6114658611087097
1956-10-01,-0.21131231520361649,-1.8332537589698343,0.6184646463220421,-0.21131231520361649,-0.21131231520361649,-0.34570067077962663,-0.34570067077962663,-0.34570067077962663,-0.34930218,-0.34930218,-0.34930218,0.003601509220373361,0.003601509220373361,0.003601509220373361,0.0,0.0,0.0,-0.5570129859832431
1956-11-01,-0.20734896278019427,-1.7728491028118645,0.6519948163302186,-0.20734896278019427,-0.20734896278019427,-0.33444965761803835,-0.33444965761803835,-0.33444965761803835,-0.34930218,-0.34930218,-0.34930218,0.014852522381961704,0.014852522381961704,0.014852522381961704,0.0,0.0,0.0,-0.5417986203982326
1956-12-01,-0.20351346043494697,-1.8485507879854108,0.6893737910426011,-0.20351346043494697,-0.20351346043494697,-0.3411764609248069,-0.3411764609248069,-0.3411764609248069,-0.34930218,-0.34930218,-0.34930218,0.008125719075193105,0.008125719075193105,0.008125719075193105,0.0,0.0,0.0,-0.5446899213597539
1957-01-01,-0.19955010801152478,-1.803056966117942,0.6455738215655332,-0.19955010801152478,-0.19955010801152478,-0.33368222646493756,-0.33368222646493756,-0.33368222646493756,-0.34930218,-0.34930218,-0.34930218,0.015619953535062415,0.015619953535062415,0.015619953535062415,0.0,0.0,0.0,-0.5332323344764623
1957-02-01,-0.19558675558810254,-1.8473182715808423,0.5983269435661178,-0.19558675558810254,-0.19558675558810254,-0.45015580364849006,-0.45015580364849006,-0.45015580364849006,-0.34930218,-0.34930218,-0.34930218,-0.10085362364849004,-0.10085362364849004,-0.10085362364849004,0.0,0.0,0.0,-0.6457425592365926
1957-03-01,-0.1920069533992051,-1.846342996573024,0.5961928518500278,-0.1920069533992051,-0.1920069533992051,-0.3904411808501035,-0.3904411808501035,-0.3904411808501035,-0.34930218,-0.34930218,-0.34930218,-0.04113900085010351,-0.04113900085010351,-0.04113900085010351,0.0,0.0,0.0,-0.5824481342493086
1957-04-01,-0.18804360097578288,-1.7680118838883452,0.6891872535767517,-0.18804360097578288,-0.18804360097578288,-0.31982602942261396,-0.31982602942261396,-0.31982602942261396,-0.34930218,-0.34930218,-0.34930218,0.02947615057738608,0.02947615057738608,0.02947615057738608,0.0,0.0,0.0,-0.5078696303983968
1957-05-01,-0.18420809863053558,-1.6920759114176451,0.7116999579541998,-0.18420809863053558,-0.18420809863053558,-0.289206677434437,-0.289206677434437,-0.289206677434437,-0.34930218,-0.34930218,-0.34930218,0.06009550256556301,0.06009550256556301,0.06009550256556301,0.0,0.0,0.0,-0.4734147760649726
1957-06-01,-0.1802447462071134,-1.7639246844575598,0.7609963427486258,-0.1802447462071134,-0.1802447462071134,-0.3283327374051311,-0.3283327374051311,-0.3283327374051311,-0.34930218,-0.34930218,-0.34930218,0.020969442594868985,0.020969442594868985,0.020969442594868985,0.0,0.0,0.0,-0.5085774836122445
1957-07-01,-0.17640924386186607,-1.9119436993598293,0.6623282223453748,-0.17640924386186607,-0.17640924386186607,-0.3704240639740659,-0.3704240639740659,-0.3704240639740659,-0.34930218,-0.34930218,-0.34930218,-0.021121883974065836,-0.021121883974065836,-0.021121883974065836,0.0,0.0,0.0,-0.546833307835932
1957-08-01,-0.17244589143844385,-1.8217347033778926,0.6469914025455705,-0.17244589143844385,-0.17244589143844385,-0.4080860731491477,-0.4080860731491477,-0.4080860731491477,-0.34930218,-0.34930218,-0.34930218,-0.058783893149147684,-0.058783893149147684,-0.058783893149147684,0.0,0.0,0.0,-0.5805319645875915
1957-09-01,-0.16848253901502164,-1.825380431124649,0.7109511704481173,-0.16848253901502164,-0.16848253901502164,-0.3807312525093923,-0.3807312525093923,-0.3807312525093923,-0.34930218,-0.34930218,-0.34930218,-0.03142907250939232,-0.03142907250939232,-0.03142907250939232,0.0,0.0,0.0,-0.549213791524414
1957-10-01,-0.16464703666977432,-1.7163396646611184,0.6935701500791153,-0.16464703666977432,-0.16464703666977432,-0.34477297784021976,-0.34477297784021976,-0.34477297784021976,-0.34930218,-0.34930218,-0.34930218,0.004529202159780292,0.004529202159780292,0.004529202159780292,0.0,0.0,0.0,-0.5094200145099941
1957-11-01,-0.1606836842463521,-1.7601280004377882,0.6623319694501235,-0.1606836842463521,-0.1606836842463521,-0.349738821668911,-0.349738821668911,-0.349738821668911,-0.34930218,-0.34930218,-0.34930218,-0.00043664166891101955,-0.00043664166891101955,-0.00043664166891101955,0.0,0.0,0.0,-0.5104225059152632
1957-12-01,-0.15684818186865018,-1.8201341880807231,0.7536800915714557,-0.15684818186865018,-0.15684818186865018,-0.3546216135193147,-0.3546216135193147,-0.3546216135193147,-0.34930218,-0.34930218,-0.34930218,-0.005319433519314716,-0.005319433519314716,-0.005319433519314716,0.0,0.0,0.0,-0.5114697953879649
1958-01-01,-0.15288482941169151,-1.662957416809317,0.7773221771282923,-0.15288482941169151,-0.15288482941169151,-0.3526154237999954,-0.3526154237999954,-0.3526154237999954,-0.34930218,-0.34930218,-0.34930218,-0.0033132437999953746,-0.0033132437999953746,-0.0033132437999953746,0.0,0.0,0.0,-0.5055002532116869
1958-02-01,-0.14892147695473285,-1.8062630132217787,0.5623419174358609,-0.14892147695473285,-0.14892147695473285,-0.4214609999266855,-0.4214609999266855,-0.4214609999266855,-0.34930218,-0.34930218,-0.34930218,-0.0721588199266855,-0.0721588199266855,-0.0721588199266855,0.0,0.0,0.0,-0.5703824768814183
1958-03-01,-0.14534167473554435,-1.7228328527277588,0.7249553097248609,-0.14534167473554435,-0.14534167473554435,-0.37980276942339597,-0.37980276942339597,-0.37980276942339597,-0.34930218,-0.34930218,-0.34930218,-0.030500589423395917,-0.030500589423395917,-0.030500589423395917,0.0,0.0,0.0,-0.5251444441589403
1958-04-01,-0.14137832227858568,-1.6969749658376052,0.8205080236649115,-0.14137832227858568,-0.14137832227858568,-0.3168959499254995,-0.3168959499254995,-0.3168959499254995,-0.34930218,-0.34930218,-0.34930218,0.0324062300745005,0.0324062300745005,0.0324062300745005,0.0,0.0,0.0,-0.45827427220408523
1958-05-01,-0.1375428199008837,-1.7317122041975208,0.8253655360308703,-0.1375428199008837,-0.1375428199008837,-0.31075031006336806,-0.31075031006336806,-0.31075031006336806,-0.34930218,-0.34930218,-0.34930218,0.038551869936631976,0.038551869936631976,0.038551869936631976,0.0,0.0,0.0,-0.44829312996425175
